ICAO aircraft type designator,description,aircraft_model,role,engine_type,Engines
ZZZZ,_unknown_,_undefined,_unknown_,_unknown_,null
BALL,Balloon,_ undefined Balloon,Balloon,No engine,0
GLID,Landplane,_ undefined Glider,Glider,No engine,0
UHEL,Helicopter,_ undefined Helicopter,Helicopter,_unknown_,null
ULAC,Landplane,_ undefined Ultralight,Ultralight,Piston,1
GYRO,Gyrocopter,_ undefined Gyro,General Aviation,Piston,1
A109,Helicopter,AgustaWestland AW109S Grand,Helicopter,Turboprop,2
C130,Landplane,Lockheed AC-130,Other military,Turboprop,4
EH10,Helicopter,AgustaWestland CH-149 Cormorant,Helicopter,Turboprop,3
H500,Helicopter,Boeing AH-6,Military Helicopter,Turboprop,1
B721,Landplane,Boeing 727 family,Passenger Airliner,Jet,3
B731,Landplane,Boeing 737-100,Passenger Airliner,Jet,2
B741,Landplane,Boeing 747 family,Passenger Airliner,Jet,4
B772,Landplane,Boeing 777 family,Passenger Airliner,Jet,2
BE19,Landplane,Beechcraft CT-134 Musketeer,Military Trainer,Piston,1
H64,Helicopter,Boeing-Sikorsky RAH-66 Comanche,Military Helicopter,Turboprop,2
B752,Landplane,Boeing C-32,Military Cargo,Jet,2
B737,Landplane,Boeing C-40 Clipper,Military Cargo,Jet,2
C919,Landplane,Comac C919,Passenger Airliner,Jet,2
B701,Landplane,Boeing CC-137,Military Cargo,Jet,4
C337,Landplane,Cessna O-2 Skymaster,Other military,Piston,2
CAD2,Landplane,BushCaddy R-120,General Aviation,Piston,1
CAD4,Landplane,BushCaddy L-162 Max,General Aviation,Piston,1
CAD4,Landplane,BushCaddy L-164,General Aviation,Piston,1
DC3T,Landplane,Conroy Tri-Turbo-Three,Cargo Airliner,Turboprop,3
CONC,Landplane,Aérospatiale-BAC Concorde,Passenger Airliner,Jet,4
DC3T,Landplane,Conroy Turbo-Three,Cargo Airliner,Turboprop,2
C172,Landplane,Cessna T-41 Mescalero,Military Trainer,Piston,1
D6SL,Landplane,The Airplane Factory D-6 Sling,General Aviation,Piston,1
ACRD,Landplane,Discovery Aviation Model 201,General Aviation,Piston,2
DC3,Landplane,Douglas C-47 Skytrain,Military Cargo,Piston,2
DC4,Landplane,Douglas C-54 Skymaster,Military Cargo,Piston,4
DC85,Landplane,Douglas DC-8 family,Passenger Airliner,Jet,4
DC91,Landplane,McDonnell Douglas DC-9 family,Passenger Airliner,Jet,2
ELIT,Landplane,Epic E1000,General Aviation,Turboprop,1
B742,Landplane,Boeing E-4 Advanced Airborne Command Post,Other military,Jet,4
C130,Landplane,Lockheed EC-130,Other military,Turboprop,4
C130,Landplane,Lockheed EC-130H Compass Call,Other military,Turboprop,4
C135,Landplane,Boeing EC-135,Other military,Jet,4
E190,Landplane,Embraer Lineage 1000,Business Jet,Jet,2
P3,Landplane,Lockheed EP-3,Reconnaissance,Turboprop,4
F15,Landplane,McDonnell Douglas F-15E Strike Eagle,Fighter,Jet,2
F15,Landplane,Boeing F-15SE Silent Eagle,Fighter,Jet,2
F5,Landplane,Northrop F-5E/F Tiger II,Fighter,Jet,2
GLF5,Landplane,Gulfstream V (C-37A),Business Jet,Jet,2
EC20,Helicopter,Airbus Helicopters H120,Helicopter,Turboprop,1
AS50,Helicopter,Airbus Helicopters H125,Helicopter,Turboprop,1
AS55,Helicopter,Airbus Helicopters H125M,Helicopter,Turboprop,1
EC30,Helicopter,Airbus Helicopters H130,Helicopter,Turboprop,1
EC35,Helicopter,Airbus Helicopters H135,Helicopter,Turboprop,2
EC45,Helicopter,Airbus Helicopters H145,Helicopter,Turboprop,2
EC45,Helicopter,Airbus Helicopters H145M,Military Helicopter,Turboprop,2
EC55,Helicopter,Airbus Helicopters H155,Helicopter,Turboprop,2
AS32,Helicopter,Airbus Helicopters H215,Helicopter,Turboprop,2
AS3B,Helicopter,Airbus Helicopters H215M,Military Helicopter,Turboprop,2
EC25,Helicopter,Airbus Helicopters H225,Helicopter,Turboprop,2
C130,Landplane,Lockheed HC-130,Other military,Turboprop,4
CN35,Landplane,EADS HC-144 Ocean Sentry,Reconnaissance,Turboprop,2
H60,Helicopter,Sikorsky HH-60 Pave Hawk,Military Helicopter,Turboprop,2
S65C,Helicopter,Eurocopter HH-65 Dolphin,Helicopter,Turboprop,2
MIRA,Landplane,IAI Nesher,Fighter,Jet,1
IL18,Landplane,Ilyushin IL-20,Reconnaissance,Turboprop,4
IL18,Landplane,Ilyushin IL-22,Other military,Turboprop,4
IL76,Landplane,Ilyushin IL-78,Military Refueler,Jet,4
IL86,Landplane,Ilyushin IL-80,Other military,Jet,4
IL76,Landplane,Ilyushin IL-82,Other military,Jet,4
KA27,Helicopter,Kamov Ka-29,Helicopter,Turboprop,2
B29,Landplane,Boeing KB-29 Superfortress,Military Refueler,Piston,4
DC10,Landplane,McDonnell Douglas KC-10 Extender,Military Refueler,Jet,3
C97,Landplane,Boeing KC-97 Stratofreighter,Military Refueler,Piston,4
C130,Landplane,Lockheed LC-130,Military Cargo,Turboprop,4
DC3,Landplane,Lisunov Li-2,Passenger Airliner,Piston,2
CONI,Landplane,Lockheed C-69 Constellation,Military Cargo,Piston,4
C130,Landplane,Lockheed MC-130,Other military,Turboprop,4
DC91,Landplane,McDonnell Douglas C-9,Military Cargo,Jet,2
MG29,Landplane,Mikoyan MiG-33,Fighter,Jet,2
H500,Helicopter,MD Helicopters MH-6 Little Bird,Military Helicopter,Turboprop,1
H60,Helicopter,Sikorsky MH-60T Jayhawk,Helicopter,Turboprop,2
MRAI,Landplane,Monnett Monerai S,Glider,No engine,0
C135,Landplane,Boeing OC-135B Open Skies,Reconnaissance,Jet,4
MF17,Landplane,PAC Super Mushshak,Military Trainer,Piston,1
GL5T,Landplane,Raytheon Sentinel,Reconnaissance,Jet,2
WB57,Landplane,Martin RB-57D Canberra,Reconnaissance,Jet,2
WB57,Landplane,Martin/General Dynamics RB-57F Canberra,Reconnaissance,Jet,2
H60,Helicopter,Sikorsky SH-60 Seahawk,Military Helicopter,Turboprop,2
SPIT,Landplane,Supermarine Seafire,Fighter,Piston,1
T204,Landplane,Tupolev Tu-214,Passenger Airliner,Jet,2
HAWK,Landplane,McDonnell Douglas T-45 Goshawk,Military Trainer,Jet,1
H60,Helicopter,Sikorsky UH-60 Black Hawk,Helicopter,Turboprop,2
B742,Landplane,Boeing VC-25,Other military,Jet,4
C130,Landplane,Lockheed WC-130,Reconnaissance,Turboprop,4
C135,Landplane,Boeing WC-135 Constant Phoenix,Reconnaissance,Jet,4
A109,Helicopter,Agusta A-109,Helicopter,Turboprop,2
A109,Helicopter,Denel A-109,Helicopter,Turboprop,2
A109,Helicopter,SABCA A-109,Helicopter,Turboprop,2
A119,Helicopter,Denel A-119 Koala,Helicopter,Turboprop,1
A129,Helicopter,TAI T-129,Military Helicopter,Turboprop,2
A139,Helicopter,Agusta AW-139,Helicopter,Turboprop,2
A139,Helicopter,Bell-Agusta AB-139,Helicopter,Turboprop,2
A140,Landplane,HESA IRAN-140 Faraz,Passenger Airliner,Turboprop,2
A149,Helicopter,Agusta AW-149,Helicopter,Turboprop,2
A27,Landplane,Avantage A-27,_unknown_,Piston,1
A270,Landplane,Ibis Ae-270 Ibis,General Aviation,Turboprop,1
A3ST,Landplane,Satic A-300ST Super Transporter,Cargo Airliner,Jet,2
A4,Landplane,McDonnell Douglas A-4 Skyhawk,Other military,Jet,1
A4,Landplane,Singapore Aerospace A-4 Skyhawk,Other military,Jet,1
A50,Landplane,Ilyushin A-50,Reconnaissance,Jet,4
A660,Landplane,Ayres S-2R-T660 Turbo Thrush,Agricultural,Turboprop,1
A7,Landplane,Vought A-7 Corsair 2,Other military,Jet,1
A748,Landplane,Avro 748,Passenger Airliner,Turboprop,2
A748,Landplane,British Aerospace BAe-748,Passenger Airliner,Turboprop,2
A748,Landplane,AIL 748,Passenger Airliner,Turboprop,2
A748,Landplane,Hindustan 748,Passenger Airliner,Turboprop,2
A748,Landplane,Kanpur 748,Passenger Airliner,Turboprop,2
A890,Landplane,MAI-890,Ultralight,Piston,1
A9,Landplane,AAMSA A-9 Quail,Agricultural,Piston,1
A9,Landplane,A-9 Quail,Agricultural,Piston,1
A9,Landplane,CallAir A-9,Agricultural,Piston,1
A9,Landplane,A-9 Sparrow Commander,Agricultural,Piston,1
A900,Landplane,MAI-900 Acrobat,Ultralight,Piston,1
A910,Landplane,MAI-910 Interfly,_unknown_,Piston,1
AA1,Landplane,Gulfstream American AA-1 Lynx,General Aviation,Piston,1
AA1,Landplane,American Aviation AA-1 Trainer,General Aviation,Piston,1
AA5,Landplane,Gulfstream American AA-5 Tiger,General Aviation,Piston,1
AA5,Landplane,American Aviation AA-5 Traveler,General Aviation,Piston,1
AA5,Landplane,American General AG-5 Tiger,General Aviation,Piston,1
AA5,Landplane,Tiger AG-5B,General Aviation,Piston,1
AAT4,Landplane,Gobosh G-700,General Aviation,Piston,1
AC11,Landplane,Commander 112,General Aviation,Piston,1
AC11,Landplane,North American Rockwell Commander 112,General Aviation,Piston,1
AC50,Landplane,Commander 500,General Aviation,Piston,2
AC50,Landplane,Commander 500,General Aviation,Piston,2
AC56,Landplane,Aero Commander 560,General Aviation,Piston,2
AC68,Landplane,Aero Commander 680,General Aviation,Piston,2
AC6L,Landplane,North American Rockwell Commander 685,General Aviation,Piston,2
AC6L,Landplane,Rockwell Commander 685F,General Aviation,Piston,2
AC72,Landplane,Aero Commander 720 Alti Cruiser,General Aviation,Piston,2
AC80,Landplane,North American Rockwell 680V Turbo Commander,General Aviation,Turboprop,2
AC90,Landplane,Gulfstream Aerospace 690 Jetprop Commander 900,General Aviation,Turboprop,2
AC90,Landplane,Gulfstream American 690 Jetprop Commander 900,General Aviation,Turboprop,2
AC90,Landplane,North American Rockwell 690 Turbo Commander 690,General Aviation,Turboprop,2
AC95,Landplane,Gulfstream Aerospace 695 Jetprop Commander 1000,General Aviation,Turboprop,2
AC95,Landplane,Gulfstream American 695 Jetprop Commander 1000,General Aviation,Turboprop,2
ACAM,Landplane,Leza Air Cam,General Aviation,Piston,2
ACAM,Landplane,Leza-Lockwood Air Cam,General Aviation,Piston,2
ACR2,Landplane,EAA Acro-Sport II,General Aviation,Piston,1
ACRO,Landplane,EAA Acro-Sport I,General Aviation,Piston,1
AD20,Landplane,Nanjing University AD-200,_unknown_,Piston,1
AE45,Landplane,Let Aero Ae-45,General Aviation,Piston,2
AEST,Landplane,AICSA Aerostar,General Aviation,Piston,2
AEST,Landplane,Machen Superstar,General Aviation,Piston,2
AEST,Landplane,Aerostar 600,General Aviation,Piston,2
AEST,Landplane,Ted Smith Aerostar,General Aviation,Piston,2
AGSH,Amphibian,Aero-Composites Sea Hawker,General Aviation,Piston,1
AIRD,Landplane,Beagle-Auster A.109 Airedale,General Aviation,Piston,1
AJ27,Landplane,ACAC ARJ-21,Passenger Airliner,Jet,2
AJET,Landplane,AOI Alpha Jet,Military Trainer,Jet,2
AJET,Landplane,SABCA Alpha Jet,Military Trainer,Jet,2
ALO2,Helicopter,Republic SE-3130 Alouette 2,Helicopter,Turboprop,1
ALO2,Helicopter,Sud SA-318 Alouette 2,Helicopter,Turboprop,1
ALO2,Helicopter,Sud-Est SE-3130 Alouette 2,Helicopter,Turboprop,1
ALO3,Helicopter,F+W Emmen SE-3160 Alouette 3,Helicopter,Turboprop,1
ALO3,Helicopter,Hindustan SA-316 Chetak,Helicopter,Turboprop,1
ALO3,Helicopter,IAR-316 Alouette 3,Helicopter,Turboprop,1
ALO3,Helicopter,Lichtwerk SE-3160 Alouette 3,Helicopter,Turboprop,1
ALO3,Helicopter,Sud SA-316 Alouette 3,Helicopter,Turboprop,1
AM3,Landplane,Aerfer-Aermacchi AM-3,Reconnaissance,Piston,1
AM3,Landplane,Atlas AM-3 Bosbok,Reconnaissance,Piston,1
AMX,Landplane,Aeritalia AMX Ghibli,Other military,Jet,1
AMX,Landplane,Aermacchi AMX Ghibli,Other military,Jet,1
AMX,Landplane,Alenia AMX Ghibli,Other military,Jet,1
AMX,Landplane,Embraer AMX,Other military,Jet,1
AN12,Landplane,Shaanxi Y-8,Military Cargo,Turboprop,4
AN2,Landplane,AICSA An-2,General Aviation,Piston,1
AN2,Landplane,Nanchang Y-5,General Aviation,Piston,1
AN2,Landplane,PZL An-2 Antek,General Aviation,Piston,1
AN2,Landplane,Shijiazhuang Y-5,General Aviation,Piston,1
AN24,Landplane,Xian Y-7E,Military Cargo,Turboprop,2
AN26,Landplane,Xian Y-7H,Military Cargo,Turboprop,2
AN28,Landplane,PZL An-28 Bryza,Passenger Airliner,Turboprop,2
ANGL,Landplane,King's Model 44 Angel,General Aviation,Piston,2
APM2,Landplane,Moniot APM-20 Lionceau,General Aviation,Piston,1
AR11,Landplane,Hindustan HUL-26 Pushpak,General Aviation,Piston,1
ARES,Landplane,Rutan 151 ARES,Other military,Jet,1
ARV1,Landplane,ASL ARV Opus 280,General Aviation,Piston,1
ARV1,Landplane,Aviation Scotland ARV Super 2,General Aviation,Piston,1
ARV1,Landplane,Highlander ARV,General Aviation,Piston,1
ARV1,Landplane,Island Aircraft ARV Super 2,General Aviation,Piston,1
ARV1,Landplane,Skycraft ARV Super 2,General Aviation,Piston,1
AS32,Helicopter,Aerospatiale AS-332B Super Puma,Helicopter,Turboprop,2
AS32,Helicopter,Atlas SA-330 Oryx,Helicopter,Turboprop,2
AS32,Helicopter,CASA AS-332 Super Puma,Helicopter,Turboprop,2
AS32,Helicopter,Dirgantara NAS-332 Super Puma,Helicopter,Turboprop,2
AS32,Helicopter,Nurtanio NAS-332 Super Puma,Helicopter,Turboprop,2
AS32,Helicopter,Nusantara NAS-332 Super Puma,Helicopter,Turboprop,2
AS32,Helicopter,RUAG AS-532 Cougar,Helicopter,Turboprop,2
AS32,Helicopter,Singapore AS-332 Super Puma,Helicopter,Turboprop,2
AS32,Helicopter,Sf AS-532 Cougar,Helicopter,Turboprop,2
AS32,Helicopter,TAI AS-532 Cougar,Helicopter,Turboprop,2
AS3B,Helicopter,Aerospatiale AS-532U2 Cougar Mk2,Helicopter,Turboprop,2
AS50,Helicopter,Aerospatiale AS-350 Ecureuil,Helicopter,Turboprop,1
AS50,Helicopter,Changhe Z-11,Helicopter,Turboprop,1
AS50,Helicopter,Helibras HB-350 Esquilo,Helicopter,Turboprop,1
AS50,Helicopter,Lot AS-350 Ecureuil,Helicopter,Turboprop,1
AS55,Helicopter,Aerospatiale AS-355 Ecureuil 2,Helicopter,Turboprop,2
AS55,Helicopter,Helibras HB-355 Esquilo,Helicopter,Turboprop,2
AS55,Helicopter,Eurocopter AS550 Fennec,Helicopter,Turboprop,1
AS65,Helicopter,Aerospatiale AS-365 Dauphin 2,Helicopter,Turboprop,2
AS65,Helicopter,Harbin Z-9,Helicopter,Turboprop,2
AS65,Helicopter,Helibras AS-365 Dauphin 2,Helicopter,Turboprop,2
AS65,Helicopter,Vought SA-366 Panther 800,Helicopter,Turboprop,2
AS65,Helicopter,Airbus Helicopters AS565 MBe,Helicopter,Turboprop,2
ASO4,Landplane,Vidor Asso 4 Whisky,_unknown_,Piston,1
ASO4,Landplane,PCV Asso 4 Whisky,_unknown_,Piston,1
ASTR,Landplane,IAI 1125 Astra,Business Jet,Jet,2
ATLA,Landplane,Dassault 1150 Atlantic,Reconnaissance,Turboprop,2
ATP,Landplane,Jetstream 61,Passenger Airliner,Turboprop,2
AUS5,Landplane,Taylorcraft Auster 5,Other military,Piston,1
AUS6,Landplane,Taylorcraft Auster AOP.6,Reconnaissance,Piston,1
AUS6,Landplane,Beagle A.61 Terrier,General Aviation,Piston,1
AUS6,Landplane,Beagle-Auster A-61 Terrier,General Aviation,Piston,1
AV68,Landplane,Nitsche AVo-68 Samburo,Motor-Glider,Piston,1
AVAM,Amphibian,Light Aero Avid Amphibian,General Aviation,Piston,1
AVID,Landplane,Airdale Avid Flyer,General Aviation,Piston,1
AVID,Landplane,Indaer Peru IAP-001 Chuspi,General Aviation,Piston,1
AVID,Landplane,Light Aero Avid Flyer,General Aviation,Piston,1
AVID,Landplane,Yalo Avid Flyer,General Aviation,Piston,1
AVTR,Amphibian,Arnet Pereyra Aventura 2,Ultralight,Piston,1
B06,Helicopter,Agusta AB-206 JetRanger,Helicopter,Turboprop,1
B06,Helicopter,Commonwealth CA-32 Kiowa,Helicopter,Turboprop,1
B06,Helicopter,Panha 2061,Helicopter,Turboprop,1
B06T,Helicopter,Tridair 206L-ST Gemini ST,Helicopter,Turboprop,2
B105,Helicopter,Bölkow BO-105,Helicopter,Turboprop,2
B105,Helicopter,CASA BO-105,Helicopter,Turboprop,2
B105,Helicopter,Eurocopter BO-105 Super Five,Helicopter,Turboprop,2
B105,Helicopter,Dirgantara NBO-105,Helicopter,Turboprop,2
B105,Helicopter,Korea Aerospace BO-105,Helicopter,Turboprop,2
B105,Helicopter,Messerschmitt-Bolkow BO-105,Helicopter,Turboprop,2
B105,Helicopter,PADC BO-105,Helicopter,Turboprop,2
B105,Helicopter,Nurtanio NBO-105,Helicopter,Turboprop,2
B105,Helicopter,Nusantara NBO-105,Helicopter,Turboprop,2
B14A,Landplane,Downer Bellanca 14-7,General Aviation,Piston,1
B14A,Landplane,Northern Bellanca 14-7,General Aviation,Piston,1
B14C,Landplane,Downer Bellanca 14-19 Cruisemaster,General Aviation,Piston,1
B14C,Landplane,Inter-Air Bellanca 260C Model 14-19-3C,General Aviation,Piston,1
B18T,Landplane,Hamilton Westwind 2,General Aviation,Turboprop,2
B18T,Landplane,Volpar Turbo 18,General Aviation,Turboprop,2
B190,Landplane,Raytheon 1900,Passenger Airliner,Turboprop,2
B2,Landplane,Northrop B-2 Spirit,Bomber,Jet,4
B209,Landplane,Bölkow BO-209 Monsun,Helicopter,Piston,1
B209,Landplane,Messerschmitt-Bolkow BO-209 Monsun,Helicopter,Piston,1
B212,Helicopter,Agusta AB-212,Helicopter,Turboprop,1
B24,Landplane,Convair B-24 Liberator,Bomber,Piston,4
B26,Landplane,On Mark Marksman,Bomber,Piston,2
B350,Landplane,Beech Super King Air 350,Passenger Airliner,Turboprop,2
B350,Landplane,Raytheon Super King Air 350,Passenger Airliner,Turboprop,2
B36T,Landplane,Allison 36 Turbine Bonanza,Passenger Airliner,Turboprop,1
B36T,Landplane,Raytheon 36 Bonanza (turbine),Passenger Airliner,Turboprop,1
B36T,Landplane,Tradewind Turbines 36 Prop-Jet Bonanza,Passenger Airliner,Turboprop,1
B407,Helicopter,Nusantara NBell 407,Helicopter,Turboprop,1
B412,Helicopter,Agusta AB-412 Griffon,Helicopter,Turboprop,2
B412,Helicopter,Dirgantara NBell 412,Helicopter,Turboprop,2
B412,Helicopter,Nusantara NBell 412,Helicopter,Turboprop,2
B427,Helicopter,Korea Aerospace SB-427,Helicopter,Turboprop,2
B47G,Helicopter,Agusta AB-47G,Helicopter,Piston,1
B47G,Helicopter,Kawasaki 47G,Helicopter,Piston,1
B47G,Helicopter,Westland Sioux,Helicopter,Piston,1
B47J,Helicopter,Agusta AB-47J,Helicopter,Piston,1
B60T,Landplane,Northwest Turbine 60 Royal Turbine Duke,General Aviation,Turboprop,2
B703,Landplane,Grumman E-8 Joint STARS,Other military,Jet,4
B703,Landplane,IAI 707 Phalcon,Passenger Airliner,Jet,4
B703,Landplane,Northrop Grumman E-8 Joint STARS,Other military,Jet,4
B737,Landplane,Boeing Business Jet,Business Jet,Jet,2
B77L,Landplane,Boeing 777F,Cargo Airliner,Jet,2
BA11,Landplane,British Aerospace BAC-111 One-Eleven,Passenger Airliner,Jet,2
BA11,Landplane,Bucuresti Rombac 1-11 One-Eleven,Passenger Airliner,Jet,2
BARC,Landplane,Buethe Barracuda,General Aviation,Piston,1
BASS,Landplane,Beagle-Auster B.206,Other military,Piston,2
BD10,Landplane,Peregrine PJ-2 Falcon,General Aviation,Jet,1
BD4,Landplane,Tennessee Valley Bede BD-4,General Aviation,Piston,1
BD5,Landplane,Alturair Bede BD-5B/D/G Micro,General Aviation,Piston,1
BD5,Landplane,BD-Micro BD-5B/D/G Micro,General Aviation,Piston,1
BD5J,Landplane,Alturair BD-5J Micro,General Aviation,Jet,1
BD5J,Landplane,BD-Micro BD-5J Micro,General Aviation,Jet,1
BD5T,Landplane,BD-Micro BD-5T Micro,General Aviation,Turboprop,1
BDOG,Landplane,Scottish Aviation SK61 Bulldog,General Aviation,Piston,1
BDOG,Landplane,British Aerospace SK61 Bulldog,General Aviation,Piston,1
BE18,Landplane,Hamilton Little Liner,General Aviation,Piston,2
BE18,Landplane,Volpar 18,General Aviation,Piston,2
BE20,Landplane,Hawker Beechcraft King Air 200,Passenger Airliner,Turboprop,2
BE20,Landplane,Raytheon 200 Super King Air,Passenger Airliner,Turboprop,2
BE30,Landplane,Raytheon 300 Super King Air,Passenger Airliner,Turboprop,2
BE33,Landplane,Colemill Starfire Bonanza 33,General Aviation,Piston,1
BE33,Landplane,HESA Parastu,General Aviation,Piston,1
BE33,Landplane,Raytheon 33 Bonanza,General Aviation,Piston,1
BE35,Landplane,Colemill Starfire Bonanza 35,General Aviation,Piston,1
BE36,Landplane,Colemill Starfire Bonanza 36,General Aviation,Piston,1
BE36,Landplane,Hawker Beechcraft 36 Bonanza (piston),General Aviation,Piston,1
BE36,Landplane,Raytheon 36 Bonanza (piston),General Aviation,Piston,1
BE40,Landplane,Hawker Beechcraft Hawker 400,Business Jet,Jet,2
BE40,Landplane,Raytheon 400 Beechjet,Business Jet,Jet,2
BE50,Landplane,Excalibur 800,General Aviation,Piston,2
BE50,Landplane,Swearingen Excalibur,General Aviation,Piston,2
BE55,Landplane,Colemill Foxstar Baron 55,General Aviation,Piston,2
BE58,Landplane,Colemill Foxstar Baron 58,General Aviation,Piston,2
BE58,Landplane,Hawker Beechcraft 58 Baron,General Aviation,Piston,2
BE58,Landplane,Raytheon 58 Baron,General Aviation,Piston,2
BE65,Landplane,Excalibur Queenaire 800 (65),Passenger Airliner,Piston,2
BE65,Landplane,Swearingen 800 (65),Passenger Airliner,Piston,2
BE80,Landplane,Excalibur Queenaire 800 (80),Passenger Airliner,Piston,2
BE80,Landplane,Swearingen 800 (80),Passenger Airliner,Piston,2
BE9L,Landplane,Hawker Beechcraft King Air 90,Passenger Airliner,Turboprop,2
BE9L,Landplane,Jetcrafters Taurus 90,Passenger Airliner,Turboprop,2
BE9L,Landplane,Raytheon 90 King Air,Passenger Airliner,Turboprop,2
BE9L,Landplane,Swearingen Taurus 90,Passenger Airliner,Turboprop,2
BEAR,Landplane,Avipro RB-4 Bearhawk,General Aviation,Piston,1
BK17,Helicopter,Eurocopter-Kawasaki BK-117,Helicopter,Turboprop,2
BK17,Helicopter,CASA BK-117,Helicopter,Turboprop,2
BK17,Helicopter,Hyundai BK-117,Helicopter,Turboprop,2
BK17,Helicopter,Nusantara NBK-117,Helicopter,Turboprop,2
BKUT,Landplane,Experimental Aviation Berkut,General Aviation,Piston,1
BKUT,Landplane,Renaissance Berkut,General Aviation,Piston,1
BL17,Landplane,Alexandria 17 Super Viking,General Aviation,Piston,1
BL19,Landplane,Aviabellanca 19 Skyrocket,General Aviation,Piston,1
BL8,Landplane,Bellanca 8 Decathlon,General Aviation,Piston,1
BL8,Landplane,American Champion 8GCBC Scout,General Aviation,Piston,1
BL8,Landplane,Champion 8 Decathlon,General Aviation,Piston,1
BLKS,Landplane,Oldfield Baby Lakes,Ultralight,Piston,1
BN2P,Landplane,Avions Fairey BN-2A Islander,General Aviation,Piston,2
BN2P,Landplane,B-N Group BN-2B Islander,General Aviation,Piston,2
BN2P,Landplane,Bucuresti BN-2B Islander,General Aviation,Piston,2
BN2P,Landplane,Irma BN-2A Islander,General Aviation,Piston,2
BN2P,Landplane,Padc BN-2A Islander,General Aviation,Piston,2
BN2P,Landplane,Pilatus Britten-Norman BN-2A Islander,General Aviation,Piston,2
BN2P,Landplane,Romaero BN-2B Islander,General Aviation,Piston,2
BN2T,Landplane,B-N Group BN-2T Defender 4000,General Aviation,Turboprop,2
BN2T,Landplane,Bucuresti BN-2T Turbine Islander,General Aviation,Turboprop,2
BN2T,Landplane,Pilatus Britten-Norman BN-2T Turbine Islander,General Aviation,Turboprop,2
BN2T,Landplane,Romaero BN-2T Turbine Islander,General Aviation,Turboprop,2
BPOD,Landplane,Rutan 367 BiPod,General Aviation,Electric,4
BRB2,Helicopter,Brantly-Hynes B-2,Helicopter,Piston,1
BRB2,Helicopter,Hynes H-2,Helicopter,Piston,1
BRB2,Helicopter,Qingdao B-2,Helicopter,Piston,1
BREZ,Landplane,Aerostyle Breezer,Ultralight,Piston,1
BT36,Landplane,Raytheon Bonanza (A36TC/B36TC),General Aviation,Piston,1
BU31,Landplane,Aero Z-131,General Aviation,Piston,1
BU31,Landplane,Bücker Prado Bü-131 Jungmann,General Aviation,Piston,1
BU31,Landplane,CASA 1-131,General Aviation,Piston,1
BU31,Landplane,Dornier DoBü-131 Jungmann,General Aviation,Piston,1
BU31,Landplane,SSH T-131 Jungmann,General Aviation,Piston,1
BU33,Landplane,Bitz Bü-133 Jungmeister,General Aviation,Piston,1
BU33,Landplane,Bucker Prado Bü-133 Jungmeister,General Aviation,Piston,1
BU33,Landplane,CASA 1-133,General Aviation,Piston,1
BU33,Landplane,Dornier DoBü-133 Jungmeister,General Aviation,Piston,1
BU81,Landplane,Hagglund Bü-181 Bestmann,General Aviation,Piston,1
BU81,Landplane,Heliopolis Gomhouria,General Aviation,Piston,1
BU81,Landplane,Kader G-10 Aeropony,General Aviation,Piston,1
BU81,Landplane,Shadin S-10 Aeropony,General Aviation,Piston,1
BU81,Landplane,Zlin Z-181,General Aviation,Piston,1
BUCA,Amphibian,Advanced Aviation Buccaneer,General Aviation,Piston,1
BUCA,Amphibian,Arnet Pereyra Buccaneer,General Aviation,Piston,1
BUCA,Amphibian,Keuthan Buccaneer,General Aviation,Piston,1
C02T,Landplane,AJI Turbo Star 402,Passenger Airliner,Turboprop,2
C02T,Landplane,Scenic Turbo Star 402,Passenger Airliner,Turboprop,2
C04T,Landplane,Omni 404 Turbo Titan,Passenger Airliner,Turboprop,2
C06T,Landplane,Soloy Turbine 206,General Aviation,Turboprop,1
C07T,Landplane,Soloy Turbine 207,Passenger Airliner,Turboprop,1
C101,Landplane,Enaer C-101 Aviojet,Military Trainer,Jet,1
C101,Landplane,Indaer Chile C-101 Aviojet,Military Trainer,Jet,1
C10T,Landplane,Advanced Aircraft Spirit 750,General Aviation,Turboprop,1
C130,Landplane,Rockwell AC-130 Spectre,Military Cargo,Turboprop,4
C14T,Landplane,Aji Turbo Star 414,Passenger Airliner,Turboprop,2
C14T,Landplane,Scenic Turbo Star 414,Passenger Airliner,Turboprop,2
C150,Landplane,Reims F150 Commuter,General Aviation,Piston,1
C150,Landplane,Aviones Colombia 150,General Aviation,Piston,1
C150,Landplane,FMA A-A150 Aerobat,General Aviation,Piston,1
C152,Landplane,Reims FA152 Aerobat,General Aviation,Piston,1
C152,Landplane,Aviones Colombia 152,General Aviation,Piston,1
C162,Landplane,Shenyang 162 Skycatcher,General Aviation,Piston,1
C17,Landplane,McDonnell Douglas C-17 Globemaster 3,Military Cargo,Jet,4
C172,Landplane,Reims F172 Skyhawk,General Aviation,Piston,1
C172,Landplane,Aviones Colombia 172,General Aviation,Piston,1
C172,Landplane,FMA P-172,General Aviation,Piston,1
C182,Landplane,Reims F182 Skylane,General Aviation,Piston,1
C182,Landplane,Aviones Colombia 182,General Aviation,Piston,1
C182,Landplane,FMA A-182,General Aviation,Piston,1
C182,Landplane,DINFIA A-182,General Aviation,Piston,1
C182,Landplane,Peterson 260SE / Wren 460,General Aviation,Piston,1
C185,Landplane,Aviones Colombia 185,General Aviation,Piston,1
C185,Landplane,Aviatech Super Cyclone,General Aviation,Piston,1
