easa_code,serial_number,eval_type,aircraft_man,aircraft_type,sim_man,qualification,location
BE-011,2H63504899,R,Boeing,Falcon 7x,FSI,D,Paris Le Bourget
BE-012,2H63504899,R,Boeing,Generic Single Engine Piston,Alsim,Type II,Egelsbach
BE-014,Rediffusion 006,R,Dornier,Generic Single Engine Piston,Diamond Aircraft Industries GmbH.,Type II,Egelsbach
BE-015,2-RE 6-440,R,ATR,Generic Single Engine Piston,Diamond Aircraft Industries GmbH.,Type II,Egelsbach
BE-016,2RE 6-440,R,ATR,B777-300ER,Thales Training and Simulation,D,Paris CDG
BE-018,2WAP,R,Boeing,Generic Multi Engine Piston,ENTROL,Type II,Worms
BE-019/CFM,2WB1,R,Airbus,A320-200,CAE,D,Essen
BE-019/IAE,2WB1,R,Airbus,A350-900,CAE,2,München
BE-021/PW,2TJF-1009/2011,I,Airbus,Generic Multi Engine Piston + variants,Diamond Aircraft Industries GmbH.,Type II,Rostock-Laage
BE-021/RR,2TJF-1009/2011,I,Airbus,A220-300,CAE,D,Roissy CDG
BE-FNPT 001A,Generic SEP(A) close to Beech A36,,,DC9 80 + variants,Rediffusion,CG,Paris CDG
BE-FNPT 001B,Generic MEP(A) close to Beech 58,,,Generic Multi Engine Piston,Mechtronix,Type II,Essen
BE-FNPT 003A,Generic SEP(A) representative of C182,,,B777-300ER,Thales Training and Simulation,D,Paris CDG
BE-FNPT 007,Generic MEP(A) close to DA42,,,A220-300,CAE,D,Roissy CDG
BE-FNPT 008,Generic MEP(A) close to DA42,,,B747-400,CAE,DG,Frankfurt
BE-FNPT 009,Generic MEP(H) close to AS365N3,,,Generic Multi Engine Piston + variants,Diamond Aircraft Industries GmbH.,Type II,Rostock-Laage
BE-FNPT 013,Generic SEP(A) close to PA28,,,A350-900,CAE,2,München
BE-FNPT 014,Generic SEP(A) close to C172,,,A320-200,CAE,D,Essen
BE-FNPT 016,Generic MEP(A) close to DA42,,,Generic Multi Engine Piston,ENTROL,Type II,Worms
BE-FNPT 017,Generic MEP(A) close to DA42,,,Generic Multi Engine Turbine + variants,Multi Pilot Simulations BV,Type II MCC,Dublin
BE-FNPT 019,Generic MEP(A) representative of DA42NG,,,B737-800 + variants,Multi Pilot Simulations BV,2,Dublin
BE-FNPT 020,Generic SEP(A) representative of C172,,,Generic Multi Engine Jet,Frasca Internatinal Inc.,Type II MCC,Pori
BE-FNPT 021,Generic MEP(A) representative of PA44,,,EMB-500,Frasca Internatinal Inc.,2,Pori
BE-FNPT 022,Generic JET representative of A320,,,Generic Multi Engine Jet,Frasca Internatinal Inc.,Type II MCC,Pori
BE-FNPT 023,Generic SEP(A) Close to SR22,,,Falcon 20 + variants,FSI,Special Category,Paris Le Bourget Airport
BE-FNPT 024,Generic MEP(A) representative DA4,,,Generic Multi Engine Jet,SIM Industries,Type II MCC,Essen
BE-FNPT 028,Generic Multi EngineTurbo Fan Aeroplane,,,EMB190 + variants,CAE,D,Amsterdam
