easa_code,serial_number,eval_type,aircraft_man,aircraft_type,sim_man,qualification,location
DE-3A-145A,S/N: A250-103,R,Not Applicable,A300-F4 600 + variants,CAE,Special Category,Toulouse Airport
DE-3A-145B,S/N: A250-103,R,Not Applicable,A380 + variants,CAE,D,Toulouse Airport
DE-3A-146,DSIMDA42NG004E2,R,Not Applicable,A380 + variants,CAE,D,Toulouse Airport
DE-3A-147,ALSIM - AL4x-19,R,Not Applicable,A330-200,CAE,D,Toulouse Airport
DE-3A-148,AL4x-20,R,Not Applicable,A330-900,CAE,D,"Toulouse, France"
DE-3A-149A,A250-123,R,Not Applicable,B757-200,TTSL,CG,Paris CDG
DE-3A-149B,A250-124,R,Not Applicable,B767-300 + variants,TTSL,CG,Paris CDG
DE-3H-005,BuPol 1,R,Eurocopter,B737-800 + variants,Mechtronix,D,Paris CDG
DE-3H-007,S/N 004,R,Not Applicable,CRJ-1000 + variants,FSI,D,Morlaix Airport
DE-3H-008,H11 006,R,Not Applicable,CL600-2C10 + variants,FSI,D,Morlaix Airport
DE-3H-009,10229-001,R,Eurocopter,B737-800 + variants,Sim International B.V.,D,Mönchengladbach
DE-3H-010,7,R,Not Applicable,B767-300,Thales Training and Simulation,D,Frankfurt
DE-3H-011,10230-001,R,Airbus Helicopters,B747-400,Thales Training and Simulation,D,Frankfurt
DE-3H-012,Frasca S/N 1369,R,Eurocopter,CL600-2B19 + variants,CAE,DG,Berlin
DK-110,xxxxx,I,ATR,CL600-2D24 + variants,CAE,D,Berlin
DK-1110,Thales /1000,I,Agusta Westland,A320-200,CAE,D,Essen
DK-1130A,2THT-939,R,Embraer,A320-200,CAE,D,Essen
DK-1130B,2THT-939,R,Embraer,Generic Multi Engine Jet + variants,"TFC GmbH, Rehmanns Hof 45, 45257 Essen",Type II MCC,Essen
DK-1185A,118960-1800,R,Airbus,Generic Single Engine Piston,ELITE Simulation Solutions AG,Type II,Marl
DK-1185B,118960-1800,R,Airbus,Generic Single Engine Piston,ELITE Simulation Solutions AG,Type II,Hamburg
DK-1186A,118960-1800,R,Airbus,Generic Multi Engine Piston,ELITE Simulation Solutions AG,Type II,Hamburg
DK-1186B,118960-1800,R,Airbus,Generic Multi Engine Piston + variants,ELITE Simulation Solutions AG,Type II,Mönchengladbach
DK-1187A,118802-1797,I,Airbus,Not Applicable + variants,Thomson Training & Simulation,DG,Velbert
DK-1187B,118802-1797,I,Airbus,DO 328-300,CAE,D,Velbert
DK-1190A,117147-1718,R,Airbus,A320-200 + variants,CAE,D,Helsinki-Vantaa airport
DK-1190B,117147-1718,R,Airbus,A320-200 + variants,TRU Simulation,D,Vantaa
DK-1192,110168-1386,R,Boeing,B777-200ER,Thales Training and Simulation,D,Schiphol-Oost
DK-1193A,2RL7-405,R,Airbus,A350-900 + variants,CAE,D,Toulouse Airport
DK-1193B,2RL7-405,R,Airbus,A350-900,CAE,D,Toulouse Airport
DK-1193C,2RL7-405,R,Airbus,A320-200 + variants,CAE,D,LIRF
DK-1194,112640-1441,R,Embraer,A320-200 + variants,CAE,D,LIRF
DK-1195A,113725-1600,R,Boeing,Not Applicable + variants,FTD.aero Sp.z o.o.,Type II MCC,Aeroporto Roma Urbe
DK-1195B,113725-1600,R,Boeing,A 119 KOALA + variants,Leonardo Spa Helicopter,3,Sesto Calende
DK-1196,110402-1471,R,Airbus,Not Applicable + variants,Alsim,Type II,Boscomantico airport
DK-1197,111649-1483,R,ATR,Generic Single Engine Piston + variants,Alsim,Type II,Boscomantico airport
DK-1199A,111798-1464,R,Airbus,Generic Single Engine Piston + variants,Alsim,Type II,Boscomantico airport
DK-1199B,111798-1464,R,Airbus,Not Applicable,Alsim,Type II MCC,LIPN airport
DK-1201,S241116,I,Airbus,B737-800 + variants,CAE,D,Bergamo
DK-121B,111412-1528,R,Airbus,Generic Multi Engine Turbine + variants,Multi Pilot Simulations BV,Type II MCC,Dublin
DK-122,141,R,British Aerospace/AVRO,B737-800 + variants,Multi Pilot Simulations BV,2,Dublin
DK-124,2R48-334,R,De Havilland - Canada,B737-800 + variants,CAE,D,Madrid
DK-125,2RF2-397,R,Bombardier,B737-800 + variants,CAE,D,Madrid
DK-126,2WB9,R,Boeing,ATR 72 + variants,AXIS Flight Training Systems GmbH,D,Neusiedl am See
DK-129,2NP2-244,R,Boeing,42-300 + variants,AXIS Flight Training Systems GmbH,C,Neusiedl am See
DK-131,CAE/001,R,De Havilland - Canada,Not Applicable + variants,SoftekSim,Type II,Innsbruck
DK-132,CAE/001,R,De Havilland - Canada,Not Applicable + variants,SoftekSim,Type II,Innsbruck
DK-134,CAE 2NP8-267,R,Boeing,BK 117D-2 + variants,TRU Simulation,D,Helsinki-Vantaa airport
DK-135A,SM SBV 11/10,R,Airbus,AW 169 + variants,TRU Simulation,D,Helsinki airport
DK-135B,SM SBV 11/10,R,Airbus,B737-800,Thomson Training & Simulation,D,Mönchengladbach
DK-136,FSI-SSD 5840,R,Saab,B777-300ER,Lockheed Martin Commercial Flight Training (LMCFT),D,Frankfurt/Main
DK-137,2RF2-397,R,Canadair,CSeries 100,CAE,D,Frankfurt/Main
DK-139A,2RB5-378,R,Airbus,A220-300 + variants,CAE,1,Frankfurt/Main
DK-139B,2RB5-378,R,Airbus,BK 117D-2,Reiser Simulation and Training,D,Frankfurt
DK-139C,2RB5-378,R,Airbus,A220-300 + variants,CAE,D,Frankfurt
DK-140,2RB5-378,R,Airbus,A320 + variants,CAE,D,Frankfurt am Main
DK-141,xx,R,Saab,A300-B4 600,CAE,CG,Berlin
DK-142A/B,2W02-706,R,Airbus,A310-300,CAE,CG,Berlin
DK-144,2NB6-001,R,Boeing,Generic Multi Engine Piston,ELITE Simulation Solutions AG,Type II,Filderstadt-Sielmingen
DK-146,SM SBV 12/09,R,Boeing,Generic Multi Engine Piston,Mechtronix,Type II,Filderstadt-Bernhausen
DK-147,2,R,Fokker/Fairchild,Generic Multi Engine Turbine + variants,ENTROL,Type II MCC,Taufkirchen
DK-148,2RYE-643,R,Boeing,A330-200,Thales Training and Simulation,D,Schiphol-Oost
DK-149E,2UAP,R,Airbus,EC135P2+,ENTROL,3,Lelystad
DK-151,CAE-001,R,Fokker/Fairchild,A350-900,L3 CTS Ltd,D,Paris CDG
DK-152,2RVG-593,R,Embraer,A340-300 + variants,Thomson Training & Simulation,D,Paris CDG
DK-154,2RVG-593,R,Embraer,A330-200,T-CSF,D,Paris CDG
DK-155,2RE6-440,R,ATR,A330-200,Thomson Training & Simulation,D,Paris CDG
DK-156,2RE6-278,R,ATR,A330-200,T-CSF,D,Paris CDG
DK-157B,2WB1,I,Airbus,72-500 + variants,Thomson Training & Simulation,D,Paris CDG
DK-158A,2TJF,R,Airbus,1900 + variants,6MOUV,2,Aix en Provence
DK-158B,2TJF,R,Airbus,B737-800 + variants,CAE,D,Dublin
DK-158C,2TJF,R,Airbus,B737-800 + variants,CAE,D,Dublin
DK-160,2WAP,R,Boeing,A320 + variants,CAE,D,Schwechat
DK-161,2R85-350,R,Boeing,B737-800 + variants,CAE,D,Warsaw
DK-162A,2R85-530,R,Boeing,Generic Multi Engine Piston + variants,Alsim,Type II,Poznan
DK-162B,2R85-530,R,Boeing,Generic Single Engine Piston + variants,Alsim,Type II,Poznan
DK-163,1,R,Lockheed,Generic Single Engine Piston,Alsim,Type II,Poznan
DK-166,2RKL,R,Airbus,Generic Multi Engine Turbine + variants,Alsim,Type II,Poznam
DK-169A,2U3Q-1,S,Airbus,Generic Single Engine Piston,Alsim,Type II,Mielec
DK-169B,2U3Q,R,Airbus,Generic Multi Engine Piston,Alsim,Type II,Mielec
DK-172A/B,T3789,R,Airbus,Generic Single Engine Piston,Alsim,Type II,Mielec
DK-181A,T4237,R,Airbus,Generic Multi Engine Piston,Alsim,Type II,Mielec
DK-181B,T4273,R,Airbus,Generic Multi Engine Jet,Alsim,Type II MCC,Mielec
DK-186A/B,2RJY,R,Airbus,A320-200,Thales Training and Simulation,D,Frankfurt
DK-187A,2U37,R,Airbus,Generic Multi Engine Jet,ENTROL,Type II MCC,Augsburg
DK-187B,2U37,R,Airbus,Generic Single Engine Piston,Alsim,Type II,Ganderkesee
DK-188A,8430,R,Boeing,Generic Multi Engine Piston,Alsim,Type II,Ganderkesee
DK-188B,8430,R,Boeing,BK 117D-2 + variants,INDRA,D,Weßling
DK-189B,105040-1522,R,Airbus,EC135 T3H + variants,INDRA,D,Weßling
DK-190,T4683,R,Airbus,B787-9,L3 CTS Ltd,D,Schiphol
DK-191,T3251,R,Airbus,Generic Single Engine Piston + variants,Alsim,Type II,Luxembourg - Findel
DK-192,2RF1-337,R,Bombardier,A320-200,CAE,D,Paris CDG
DK-194,2RF1-337,R,Canadair,A320-200,Exail,1,Paris CDG
DK-195,2RF1-337,R,Bombardier,Falcon 50,FSI,CG,Paris Le Bourget Airport
DK-196,T3406,R,Airbus,C650 Citation III,FSI,CG,Monterotondo (RM)
DK-197,2RL2,R,De Havilland - Canada,A320-200 + variants,CAE,DG,Monterotondo
DK1202,S241116,I,Airbus,Generic Single Engine Piston + variants,Alsim,2,Valbrembo
EL-01,ALX-08,R,Not Applicable,Generic Multi Engine Piston + variants,Alsim,Type II,Valbrembo
EL-02,ALX-08,R,Not Applicable,Not Applicable,Alsim,Type II MCC,Forlì airport
EL-03,S 812,R,Not Applicable,Not Applicable,Alsim,Type II,Forlì airport
EL-04,148-60145-C-EX,R,Not Applicable,Not Applicable,Alsim,Type II,Forlì airport
EL-05,148-60145-C-EX,R,Not Applicable,Not Applicable,ENTROL,Type II,Padova airport
EL-06,148-60145-C-EX,R,Not Applicable,Not Applicable + variants,ENTROL,Type II,Padova airport
EL-07,ALX-33,R,Not Applicable,Generic Multi Engine Piston,ELITE Simulation Solutions AG,Type II,Güttenbach
EL-08,ALX-33,R,Not Applicable,Generic Multi Engine Piston,ELITE Simulation Solutions AG,Type II,Manching
EL-09,ALX-33,R,Not Applicable,Generic Multi Engine Piston,ELITE Simulation Solutions AG,Type II,Mainz/Germany
EL-10,ALX-33,R,Not Applicable,Generic Single Engine Piston,ELITE Simulation Solutions AG,Type II,Mainz/Germany
EL-11,FMX 0297,R,Not Applicable,BD-100 -1A10 (Challenger 300) + variants,AXIS Flight Training Systems GmbH,D,Neusiedl am See
EL-12,S/N 119-60118,R,Not Applicable,BK 117D-3,Reiser Simulation and Training,D,Sola/Norway
EL-13,244-60232-M-1EX,R,Not Applicable,Not Applicable + variants,ELITE Simulation Solutions AG,Type II,
EL-14,ALX-08,R,Not Applicable,Generic Multi Engine Turbine + variants,ELITE Simulation Solutions AG,Type II MCC,Airport Zilina (LZZI)
EL-15,A250-24,R,Not Applicable,Generic Single Engine Piston + variants,ENTROL,Type II,Chelm
EL-16,A250-24,R,Not Applicable,Generic Multi Engine Piston + variants,ENTROL,Type II,Chelm
EL-17,A250-24,R,Not Applicable,A330-300,CAE,D,Frankfurt/Main
EL-18,SN_2018-07,R,Not Applicable,B777-200 + variants,CAE,D,Berlin
EL-19,A250-33,I,Not Applicable,B787-9,L3Harris,D,Frankfurt/Main
EL-20,A250-33,I,Not Applicable,B787-9,L3Harris,D,Frankfurt
EL-21,A250-33,I,Not Applicable,Generic Multi Engine Turbine,AEROSIMULATORS,Type II MCC,Mülheim
EL-22,A250-34,I,Not Applicable,EC 135 T + variants,CAE Elektronik GmbH,A,Bueckeburg
EL-23,A250-34,I,Not Applicable,Generic Multi Engine Turbine,Aerotask GmbH,Type II MCC,Bremen
EL-24,A250-34,I,Not Applicable,A350-900,CAE,D,Helsinki airport
EL-25,ALX-90,R,Not Applicable,A320-200,CAE,D,Schiphol
EL-26,ALX-90,R,Not Applicable,AW139 + variants,CAE,D,Vantaa
EL-27,ALX-90,R,Not Applicable,AW139 + variants,6MOUV,CG,Atlantic Airways Aviation Academy
EL-28,ALX-90,R,Not Applicable,Falcon 900 Ex EASy + variants,FSI,D,Paris Le Bourget
EL-29,ALX-102,R,Not Applicable,EMB 120RT Brasilia + variants,FSI,CG,Paris Le Bourget Airport
EL-30,ALX-102,R,Not Applicable,EMB190 + variants,FSI,1,Le Bourget Airport
EL-31,ALX-102,R,Not Applicable,72 - 600 + variants,CAE,D,Toulouse Airport
EL-32,ALX-102,R,Not Applicable,A220-300,CAE,D,Aeroporto Fiumicino
EL-33,87,I,Not Applicable,Generic Multi Engine Piston + variants,Alsim,2,Aeroporto Roma Urbe
EL-34,87,I,Not Applicable,Generic Multi Engine Jet,FTD.aero Sp.z o.o.,MCC,Aeroporto Roma Urbe
ES-1A-011,CN235-S3-F-000-,R,Casa,Not Applicable,Multi Pilot Simulations BV,Type II MCC,Monterotondo (RM)
ES-1A-011,CN.235/00001,R,Casa,Not Applicable,Aviatify B.V.,MCC,Collegno (TO)
ES-1A-028,S/N 01,R,ATR,Not Applicable,Aviatify B.V.,MCC,Parco Leonardo
ES-1A-032,A320GT01,I,Airbus,Generic Multi Engine Turbine + variants,Multi Pilot Simulations BV,Type II MCC,Bergamo
FI-1A-002B,II 421-451/87,R,ATR,B737-800 + variants,Multi Pilot Simulations BV,2,Bergamo
FI-1A-006A,5803,R,Beech,B737-800 + variants,CAE,D,Bergamo
FI-1A-006B,5803,R,Beech,Generic Multi Engine Piston + variants,Diamond Simulation GmbH & Co KG,Type II,Graz
FI-1A-008,2NQ4-253,R,Airbus,Generic Multi Engine Piston + variants,Diamond Simulation GmbH & Co KG,Type II,Bad Voeslau
FI-1A-012,1,R,Airbus,72 - 600,AXIS Flight Training Systems GmbH,D,Neusiedl am See
FI-1A-015,110167-1379,R,Airbus,EC135 T3H,Reiser Simulation and Training,D,Sola/Norway
FI-1A-016,SN-00002618,R,Airbus,Not Applicable + variants,Diamond Aircraft Industries GmbH.,Interim level C,Roskilde airport
FI-1A-017,109975-1391,R,Airbus,EC135 T3H,Reiser Simulation and Training,D,Frankfurt
FI-1A-018,31029,R,Airbus,A320-200,Multi Pilot Simulations BV,Type II MCC,Essen
FI-1A-019,SN-FFS-2152,R,ATR,300,FSI,CG,Pori
FI-1A-019,SN-FFS-2152,R,ATR,200,FSI,CG,Pori
FI-1H-125,81830,R,Airbus Helicopters,300,Frasca Internatinal Inc.,2,Pori
FI-1H-139,2E2B-1190,R,Agusta Westland,Generic Multi Engine Turbine,Frasca Internatinal Inc.,Type II MCC,Pori
FI-1H-145,1,R,Airbus Helicopters,Generic Multi Engine Piston,Diamond Simulation GmbH & Co KG,Type II,Tampere-Pirkkala
FI-1H-169,77733,R,Leonardo Spa Helicopter,Generic Multi Engine Piston,Diamond Simulation GmbH & Co KG,Type II,Tampere-Pirkkala
FI-1H-239,74521,R,Agusta Westland,AW139 + variants,TRU Simulation,D,Helsinki airport
FI-2A-207,2RZG-645,R,Airbus,Falcon 10,Singer,AG,Paris Le Bourget Airport
FI-2A-208,2RZG-645,R,Airbus,A330-200 + variants,CAE,D,Paris CDG
FI-2A-212,MPS-A212,R,Airbus,A330-200,CAE,D,LIRF
FI-2A-216,6332-001,R,Beech,Generic Multi Engine Turbine,Mechtronix,Type II MCC,Venegono (VA)
FI-2A-218,8918-001,R,Embraer,Generic Multi Engine Piston,Mechtronix,Type II,Venegono (VA)
FI-2A-219,8919-001,R,Embraer,Generic Single Engine Piston,Mechtronix,Type II,Venegono (VA)
FI-2A-279,11479,R,Diamond Aircraft,Not Applicable,Alsim,MCC,Venegono Inferiore
FI-2A-280,11480,R,Diamond Aircraft,Not Applicable,Alsim,2,Venegono Inferiore
FI-2H-252H,7417-001,R,Eurocopter,Not Applicable,Alsim,2,Venegono Inferiore
FI-3A-212,MPS-A212,R,Not Applicable,Not Applicable + variants,ELITE Simulation Solutions AG,Type II MCC,Trento
FI-3A-216,6332-001,R,Not Applicable,AW 169,Leonardo Spa Helicopter,2,Pratica di Mare
FI-3A-218,8918-001,R,Not Applicable,EMB190,CAE,D,Schwechat
FI-3A-219,8919-001,R,Not Applicable,A320-200,AIRBUS SA,D,Vienna
FI-3A-223,MPS-A223,R,Not Applicable,Generic Multi Engine Piston,ELITE Simulation Solutions AG,Interim level C,Krems
FI-3A-279,11479,R,Not Applicable,Generic Multi Engine Turbine,ELITE Simulation Solutions AG,Interim level C,Krems
FI-3A-280,11480-001,R,Not Applicable,EC135 T3H,Reiser Simulation and Training,3,Hörsching (LOWL)
FI-3A-301,SN-FFT-2036,R,Not Applicable,Not Applicable,Reiser Simulation and Training,Type III MCC,Hörsching (LOWL)
FI-3A-310,A05G5,R,Not Applicable,Generic Single Engine Piston,Alsim,Type II,Pozna
FI-3A-311,DSIM-001E17,R,Not Applicable,Generic Multi Engine Piston,Alsim,Type II,Pozna
FI-3A-312,DSIM-002E17,R,Not Applicable,Generic Single Engine Piston,Alsim,Type II,Pozna
FI-3A-342,DSIM-DA42NG9031,R,Not Applicable,Jetstream 32,Reflectone,BG,Lelystad
FI-3A-343,DSIM-DA42NG8016,R,Not Applicable,AVRO RJ + variants,Reflectone,DG,Malpensa
FR-101,8357,R,Fokker/Fairchild,A320-200 + variants,L3 CTS Ltd,D,Malpensa airport
FR-103,T4175,R,Boeing,Generic Multi Engine Piston,ELITE Simulation Solutions AG,Type II,Salzburg
FR-104,FFS 2,R,ATR,CESSNA XLS + variants,AXIS Flight Training Systems GmbH,D,Neusiedl am See
FR-107,1001,R,Airbus Helicopters,Generic Single Engine Piston,Alsim,Type II,Poznan
FR-108,46494869-040,R,Boeing,Generic Single Engine Piston,Alsim,Type II,Poznan
FR-109,46 670 503,R,Eurocopter,Generic Multi Engine Piston,Alsim,Type II,Poznan
FR-1102,2U7Z-1334,R,Airbus,Generic Multi Engine Jet,Alsim,Type II MCC,Poznan
FR-1102,2U7Z-1334,R,Airbus,EC 175B,INDRA,D,Marseille Airport  - France
FR-1103,8702,R,Dassault,AW139,Leonardo Spa Helicopter,D,Cervia (RA)
FR-1104,46 670 498/499,R,Eurocopter,Not Applicable + variants,Alsim,2,Bresso (MI)
FR-1105,SN-00002624,R,ATR,Not Applicable + variants,Alsim,2,Bresso (MI)
FR-1106,L-1697-1,R,Boeing,Generic Multi Engine Turbine + variants,ELITE Simulation Solutions AG,Type II MCC,Graz
FR-1108,112797,R,ATR,Generic Multi Engine Piston + variants,ELITE Simulation Solutions AG,Type II,Graz
FR-1109,8699,R,Embraer,Generic Multi Engine Piston,Bartolini Air Simulators,Type II,Lódz
FR-1111,L1943,R,Airbus,Generic Multi Engine Piston,Bartolini Air Simulators,Type II,Lodz
FR-1112,2RTQ-572,R,Airbus,Generic Multi Engine Jet + variants,Multi Pilot Simulations BV,Type II MCC,Pori
FR-1113,SN 18007,R,Pilatus,Generic Single Engine Piston,ELITE Simulation Solutions AG,Type II,Biale Blota
FR-1114,56271647AA00,R,Airbus Helicopters,Generic Multi Engine Piston,ELITE Simulation Solutions AG,Type II,Biale Blota
FR-1115,A7924,R,McDonnell-Douglas/Boeing,Generic Single Engine Piston + variants,Diamond Simulation GmbH & Co KG,Type II,"Pilotu iela 6, Lidosta “Riga”, Marupes nov., LV – 1053, Latvia"
FR-1116,121165-1887,R,Airbus,Not Applicable + variants,MAESTRALE S.r.l.,MCC,Caiolo (BG)
FR-1116,121165-1887,R,Airbus,EC 135 + variants,ENTROL,3,Verona
FR-1117,46670500FFS2,R,Airbus Helicopters,Generic Single Engine Piston,ELITE Simulation Solutions AG,Type II,Würselen
FR-1118,120348-1366,R,Airbus,A220-300 + variants,CAE,D,"Pilotu iela 6, Lidosta, Marupes nov. Riga, LV-1053 Latvia"
FR-1118,120348-1366,R,Airbus,A320-200,Multi Pilot Simulations BV,1,Helsinki airport
FR-1120,8629,R,Embraer,Generic Multi Engine Jet,Multi Pilot Simulations BV,Type II MCC,Helsinki airport
FR-1121,123564-1899,R,Airbus,A 109 E,CAE,MCC,Sesto Calende
FR-1122,122107-1989,R,Airbus,Not Applicable + variants,FTD.aero Sp.z o.o.,Type II MCC,"Poprad, Slovakia"
FR-1123,FFS2064,R,Boeing,A 109 E,CAE,3,Sesto Calende
FR-1124,FFS-21-02,R,Airbus,BD500-1A10 + variants,CAE,D,"Lidosta “Riga”, Marupes novad"
FR-1125,FFS-21-02,R,Airbus,A220-300 + variants,CAE,D,"Lidosta “Riga”, Marupes novad"
FR-1126,18048,R,Pilatus,Generic Multi Engine Piston + variants,Diamond Simulation GmbH & Co KG,Type II,"Lidosta “Riga”, Marupes novad."
FR-1128,131633,R,Airbus,Not Applicable + variants,Alsim,Type II,
FR-1129,131929,I,Airbus,Generic Single Engine Piston + variants,Alsim,Type II,Gliwice
FR-112A,7798,R,Dassault,Generic Multi Engine Piston,Alsim,Type II,Gliwice
FR-112B,7798,R,Dassault,Generic Single Engine Piston,Alsim,Type II,Kijewo Krolewskie
FR-113,9341,R,Embraer,Generic Multi Engine Piston,Alsim,Type II,Kijewo Krolewskie
FR-1130,128176,R,Airbus,Generic Multi Engine Jet,Alsim,Type II MCC,Kijewo Krolewskie
FR-1131,133034,I,Airbus,Generic Single Engine Piston + variants,Alsim,Type II,Warsaw
FR-1132,132494,I,Airbus,Generic Multi Engine Piston + variants,Alsim,Type II,Warsaw
FR-1133,132494,I,Airbus,Generic Multi Engine Jet + variants,Alsim,Type II MCC,Warsaw
FR-1134,CFAA01024,I,Airbus,Generic Single Engine Piston + variants,Alsim,Type II,Warsaw
FR-1135,CFAA01024,I,Airbus,Generic Multi Engine Piston + variants,Alsim,Type II,Warsaw
FR-114,SM SBV 08/3,R,Airbus,Generic Single Engine Piston,ELITE Simulation Solutions AG,Type II MCC,Portoroz
FR-114,SM SBV 08/3,R,Airbus,Generic Multi Engine Piston,ELITE Simulation Solutions AG,Type II MCC,Portoroz
FR-115,T4843,R,ATR,Generic Multi Engine Turbine,ELITE Simulation Solutions AG,Type II MCC,Portoroz
FR-116,8624,R,Canadair,Generic Single Engine Piston + variants,ELITE Simulation Solutions AG,Type II,GLIWICE
FR-117,MSN 175 FFS-001,R,Eurocopter,Generic Multi Engine Piston + variants,ELITE Simulation Solutions AG,Type II,GLIWICE
FR-118,402,R,Dassault,Generic Multi Engine Turbine + variants,ELITE Simulation Solutions AG,Type II MCC,GLIWICE
FR-119B,S/N 7422/115,R,Dassault,Generic Multi Engine Piston + variants,ELITE Simulation Solutions AG,Type II,Kijewo Krolewskie
FR-123,H N°001,R,Eurocopter,Generic Single Engine Piston + variants,ELITE Simulation Solutions AG,Type II,Kijewo Krolewskie
FR-125,2TM6-993,R,ATR,Not Applicable,ELITE Simulation Solutions AG,Type II MCC,Hamburg
FR-126,REALITY H N° 4,R,Eurocopter,A320-200 + variants,AIRBUS SA,D,LIRF
FR-126A,2UEL-959,R,Airbus,Not Applicable,ENTROL,Type II MCC,Rieti
FR-126A,2UEL-959,R,Airbus,Not Applicable,Alsim,Type II MCC,Bresso (MI)
FR-126B,2UEL-959,R,Airbus,Not Applicable + variants,Alsim,Type II,Bresso (MI)
FR-129,8367,R,Embraer,Not Applicable + variants,Alsim,Type II,Bresso (MI)
FR-136,FFS2,R,ATR,Not Applicable + variants,Alsim,Type II,Bresso (MI)
FR-137,FFS 2,R,ATR,Not Applicable + variants,SoftekSim,Type II,"Skultes iela 50/15, Skulte, M?rupes pag., M?rupes nov., LV-2108"
FR-138,FFS 2,R,ATR,Generic Single Engine Piston,ELITE Simulation Solutions AG,Type II,Chelm
FR-140,46494869-040,R,Boeing,Generic Multi Engine Turbine,ELITE Simulation Solutions AG,Type II,Chelm
FR-145A,2RK4-391,R,Airbus,Generic Multi Engine Piston,ELITE Simulation Solutions AG,Type II,Chelm
FR-146B,8639,R,Dassault,EC135P2+,CAE,3,Warsaw
FR-147,21,R,Dassault,Generic Multi Engine Jet,Alsim,Type II MCC,Trzebownisko
FR-150,FFS1,R,Eurocopter,Generic Multi Engine Piston,Alsim,Type II,Trzebownisko
FR-151,841,R,Airbus,Generic Single Engine Piston,Alsim,Type II,Trzebownisko
FR-152A,841,R,Airbus,Generic Single Engine Piston,Alsim,Type II,Trzebownisko
FR-152B,841,R,Airbus,Generic Multi Engine Jet,Alsim,Type II MCC,Trzebownisko
FR-152C,841,R,Airbus,Generic Multi Engine Piston,Alsim,Type II,Trzebownisko
FR-154,18,R,Boeing,Generic Single Engine Piston,Alsim,Type II,Trzebownisko
FR-155,1,R,Eurocopter,Generic Single Engine Piston,Alsim,Type II,Trzebownisko
FR-156A,T7067,R,Airbus,Generic Single Engine Piston,Alsim,Type II,Deblin
FR-158,19,R,Dassault,Generic Multi Engine Piston,Alsim,Type II,Deblin
FR-159,7798,R,Dassault,RRJ95 + variants,L3Harris,D,Tessera
FR-160C,2 UEL-959,R,Airbus,Generic Single Engine Piston,Alsim,Type II,Ljubljana
FR-160C,2 UEL-959,R,Airbus,Generic Multi Engine Piston,Alsim,Type II,Ljubljana
FR-160D,2 UEL-959,R,Airbus,Legacy 650 + variants,FSI,D,Paris Le Bourget Airport
FR-160D,2 UEL-959,R,Airbus,Generic Single Engine Piston,Alsim,Type II,Dublin
FR-163,S/N 8624,R,Bombardier,A400M + variants,Thales Training and Simulation,1,"Wunstorf, Germany"
FR-175,FFS 1,R,Eurocopter,A320-200 + variants,CAE,D,Dublin
FR-178,T4525,R,Boeing,Generic Multi Engine Jet + variants,Mechtronix,Type II MCC,Dublin
FR-181,46 670 498,R,Eurocopter,B737-800,Multi Pilot Simulations BV,Type II MCC,Dublin
FR-182,T7141-B777N16,R,Boeing,B737-800 + variants,Multi Pilot Simulations BV,1,Dublin
FR-182,T7141-B777N16,R,Boeing,Generic Multi Engine Piston,Alsim,Type II,Dublin
FR-183,T4522,R,Boeing,Generic Multi Engine Turbine,Alsim,Type II,Dublin
FR-184A,S29-2RTF-573,R,Airbus,Generic Multi Engine Turbine + variants,Euramec N.V.,Type II,
FR-184B,S29-2RTF-573,R,Airbus,A320-200,CAE,1,Dublin
FR-184C,S29-2RTF-573,R,Airbus,ATR 72 + variants,AXIS Flight Training Systems GmbH,D,Dublin
FR-192,S/N 8585,R,Embraer,A330-200,CAE,1,Dublin
FR-193B,S/N 8577 -  707,R,Dassault,DA 42,Alsim,Type II,Cork
FR-195 A,2RJG-532,R,Airbus,Not Applicable + variants,Mechtronix,Type II MCC,Roma Urbe
FR-195B,2RJG 532,R,Airbus,Generic Multi Engine Piston + variants,ELITE Simulation Solutions AG,Type II,Megara Airport
FR-196A,T7069,R,Airbus,Generic Single Engine Piston + variants,Redbird Flight Simulations,Type II,Megara Airport
FR-196B,T7069,R,Airbus,ATR 72 + variants,AXIS Flight Training Systems GmbH,D,Dublin
FR-197,2T04-066L,R,Airbus,DA 42,Flight Simulation Solution BAS320,Type II,Cork
FR-209,DS863682/859351,R,Eurocopter,Generic Multi Engine Turbine + variants,Mechtronix,Type II MCC,Kosice
FR-2105,12640-001,R,Cessna,B777-200ER,CAE,D,Fiumicino
FR-2106,46,R,Eurocopter,B737-800 + variants,SIM Industries,D,Monterotondo (RM)
FR-2107,EFPT-121917-001,R,Boeing,Not Applicable + variants,Leonardo Spa Helicopter,2,Pratica di Mare
FR-2108,6M701A-01,R,Beech,Not Applicable + variants,Frasca Internatinal Inc.,Type II MCC,LIRF
FR-2121,J7784,R,Embraer,Generic Single Engine Piston,ELITE Simulation Solutions AG,Type II,Egelsbach
FR-2122,122108-1912,R,Airbus,Generic Single Engine Piston + variants,Alsim,Type II,Kavala
FR-2123,124582-1941,R,Airbus,Generic Multi Engine Piston + variants,Alsim,Type II,Kavala
FR-2124,61,R,Airbus,Generic Multi Engine Turbine,Alsim,Type II MCC,Kavala
FR-2125,A18-136,S,Piaggio,Generic Single Engine Piston + variants,Alsim,Type II,Kavala
FR-214,REALITY  H N°4,R,Eurocopter,Generic Single Engine Piston + variants,Alsim,Type II,KAVALA
